站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220605201434,31.2,1021.5,2,193,2.1,0.6,10211.9
58102,20220605201434,12.3,1021.0,24,136,5.9,0.5,10248.6
58118,20220605201434,12.8,1025.1,68,155,10.9,1.0,10408.5
58122,20220605201434,19.1,1001.6,32,220,13.3,0.8,10271.2
58203,20220605201434,16.3,1009.0,4,32,4.7,0.1,10378.4
58215,20220605201434,4.2,1005.1,70,336,10.6,1.2,10288.2
58221,20220605201434,31.2,1008.6,30,250,3.7,1.2,10093.6
58225,20220605201434,10.5,1017.4,70,321,2.0,1.2,10358.9
58236,20220605201434,32.4,1005.9,44,116,2.1,1.1,10352.4
58311,20220605201434,10.7,1025.4,99,249,0.7,1.5,10363.1
58314,20220605201434,18.2,1009.7,23,61,5.0,0.3,10454.7
58319,20220605201434,11.2,1024.4,9,307,11.3,0.9,10211.9
58321,20220605201434,19.1,1014.6,2,91,10.7,0.5,10180.0
58326,20220605201434,4.6,1013.6,1,151,10.0,1.0,10000.7
58336,20220605201434,7.7,1000.2,91,122,7.9,0.4,10153.7
58338,20220605201434,17.7,1010.4,79,260,1.5,1.0,10449.1
58414,20220605201434,1.3,1001.7,8,6,10.0,0.5,10329.0
58419,20220605201434,2.9,1019.8,38,201,10.4,1.3,10363.7
58424,20220605201434,10.8,1000.2,86,93,0.4,0.3,10298.5
58429,20220605201434,0.7,1020.4,44,137,10.5,1.3,10386.3
58436,20220605201434,22.4,1012.2,98,84,3.1,0.1,10023.2
58437,20220605201434,13.2,1018.8,33,294,7.6,1.3,10096.0
58520,20220605201434,15.0,1012.0,80,256,4.7,0.8,10394.7
58531,20220605201434,34.2,1004.6,89,239,13.3,0.3,10472.1
54406,20220605201434,33.2,1001.4,48,313,2.1,0.4,10297.7
54416,20220605201434,6.2,1020.6,41,176,11.9,1.2,10272.9
54511,20220605201434,17.5,1013.3,18,269,10.3,0.5,10492.1
58725,20220605201434,25.0,1017.8,19,5,5.7,1.5,10170.9
58730,20220605201434,32.2,1000.4,55,22,0.3,0.5,10300.6
58731,20220605201434,23.2,1001.5,14,113,14.9,0.5,10218.8
58734,20220605201434,25.7,1011.9,53,350,2.2,0.5,10486.4
58737,20220605201434,9.3,1014.3,18,161,8.4,1.1,10228.2
58744,20220605201434,7.8,1013.3,33,173,14.3,0.2,10155.4
58754,20220605201434,27.6,1004.4,64,237,3.6,0.9,10071.6
58818,20220605201434,1.2,1021.9,32,18,1.4,1.5,10092.9
58820,20220605201434,13.0,1004.7,80,168,2.7,1.2,10362.9
58834,20220605201434,15.7,1007.3,37,296,8.6,0.4,10285.7
58837,20220605201434,10.7,1017.8,58,112,4.9,0.4,10323.0
58843,20220605201434,24.2,1002.4,72,173,8.4,0.2,10461.1
58846,20220605201434,35.0,1021.2,64,118,14.9,0.3,10490.3
58847,20220605201434,2.7,1006.8,57,302,3.1,0.8,10234.8
58911,20220605201434,17.5,1018.0,41,1,2.3,1.3,10234.2
58918,20220605201434,3.8,1012.6,95,271,2.3,0.1,10051.7
58921,20220605201434,16.7,1000.4,73,47,11.6,1.1,10374.4
58926,20220605201434,29.0,1016.5,53,155,2.4,0.4,10245.6
58927,20220605201434,31.1,1019.9,41,135,11.9,0.4,10191.4
58931,20220605201434,11.7,1015.3,63,110,10.4,0.9,10229.0
58933,20220605201434,24.5,1023.3,70,196,0.2,1.3,10277.9
58936,20220605201434,12.4,1019.4,94,225,10.9,1.3,10331.9
58944,20220605201434,15.5,1011.2,23,323,1.1,1.4,10314.4
59113,20220605201434,27.9,1026.3,100,108,8.1,0.6,10014.9
59126,20220605201434,16.9,1025.0,32,207,10.3,0.8,10060.6
59133,20220605201434,10.0,1014.6,4,276,2.7,0.8,10397.9
59134,20220605201434,19.1,1010.5,96,284,5.2,0.9,10170.9
59321,20220605201434,14.9,1000.6,90,59,3.4,0.5,10043.1
52323,20220605201434,24.2,1021.7,78,76,8.2,0.0,10448.3
52418,20220605201434,15.0,1001.9,32,43,11.0,0.7,10046.1
52424,20220605201434,34.2,1010.1,35,228,7.7,0.9,10242.9
52436,20220605201434,10.6,1023.0,72,199,3.6,0.8,10206.7
52446,20220605201434,29.1,1019.3,78,299,11.0,1.0,10426.1
52447,20220605201434,11.8,1025.6,71,62,13.1,0.2,10404.2
52533,20220605201434,28.7,1001.4,98,63,2.2,1.5,10075.3
52546,20220605201434,20.2,1006.4,64,273,11.7,1.0,10069.1
52652,20220605201434,5.5,1017.8,84,58,5.4,1.2,10073.0
52661,20220605201434,25.5,1015.2,17,131,13.3,0.7,10053.0
