站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220525193916,21.8,1022.4,55,328,9.2,0.7,10357.2
58102,20220525193916,34.0,1023.6,5,305,9.8,1.4,10392.1
58118,20220525193916,15.9,1026.3,3,326,7.4,1.4,10132.3
58122,20220525193916,29.0,1011.0,49,310,11.3,1.0,10382.1
58203,20220525193916,9.0,1008.9,63,11,13.3,0.0,10496.1
58215,20220525193916,22.7,1006.4,39,241,11.2,0.2,10391.5
58221,20220525193916,16.6,1011.5,88,254,8.3,1.0,10121.1
58225,20220525193916,19.1,1008.2,23,239,5.4,0.2,10120.9
58236,20220525193916,31.5,1019.4,70,225,7.4,1.1,10092.6
58311,20220525193916,29.4,1024.2,89,177,9.6,0.2,10131.9
58314,20220525193916,7.0,1020.7,78,72,12.3,0.1,10076.4
58319,20220525193916,6.3,1017.7,52,48,6.1,0.1,10308.1
58321,20220525193916,9.5,1020.3,49,176,2.2,0.5,10057.2
58326,20220525193916,34.5,1009.1,90,116,5.3,1.4,10034.5
58336,20220525193916,10.8,1013.0,25,41,13.3,0.6,10344.0
58338,20220525193916,20.3,1006.4,53,86,7.8,0.3,10246.8
58414,20220525193916,1.7,1011.8,34,148,12.8,1.0,10464.7
58419,20220525193916,28.4,1005.3,58,359,10.6,1.0,10205.7
58424,20220525193916,2.7,1025.8,6,142,3.9,0.1,10490.5
58429,20220525193916,12.2,1003.3,58,352,10.4,0.1,10043.5
58436,20220525193916,7.7,1006.9,86,13,4.4,1.0,10211.8
58437,20220525193916,7.8,1016.6,78,218,6.2,0.2,10114.2
58520,20220525193916,12.0,1011.5,38,290,1.3,0.6,10264.0
58531,20220525193916,11.0,1010.3,69,268,10.9,0.1,10012.3
54406,20220525193916,26.4,1005.6,64,358,0.2,0.0,10457.5
54416,20220525193916,24.5,1009.0,58,143,7.9,1.0,10165.4
54511,20220525193916,33.9,1005.8,32,151,10.8,0.8,10263.7
58725,20220525193916,7.3,1025.4,87,166,13.9,0.2,10388.5
58730,20220525193916,26.3,1015.1,20,42,11.9,1.0,10457.7
58731,20220525193916,14.6,1007.2,36,121,0.4,0.0,10297.4
58734,20220525193916,2.0,1018.9,99,6,5.2,1.3,10345.2
58737,20220525193916,35.0,1020.6,32,153,6.5,0.1,10485.0
58744,20220525193916,33.5,1000.8,71,85,10.4,0.9,10089.0
58754,20220525193916,34.9,1018.3,32,126,5.5,0.3,10365.4
58818,20220525193916,29.1,1011.6,18,157,4.2,1.1,10273.1
58820,20220525193916,5.0,1023.7,62,328,9.8,0.1,10462.0
58834,20220525193916,24.3,1002.2,58,83,8.8,0.3,10006.4
58837,20220525193916,0.3,1022.3,1,288,9.1,0.7,10004.6
58843,20220525193916,13.2,1001.2,87,190,6.6,0.7,10423.2
58846,20220525193916,7.0,1010.1,83,67,1.8,0.8,10312.3
58847,20220525193916,26.4,1017.6,62,316,5.5,1.5,10288.0
58911,20220525193916,23.3,1013.1,93,246,11.5,0.8,10133.3
58918,20220525193916,20.4,1018.2,73,67,13.2,0.3,10090.6
58921,20220525193916,25.3,1024.7,77,260,13.5,1.0,10157.5
58926,20220525193916,29.4,1003.4,36,44,14.7,0.8,10137.1
58927,20220525193916,8.0,1008.2,73,16,1.6,0.8,10138.8
58931,20220525193916,20.7,1000.5,41,231,3.7,0.1,10425.2
58933,20220525193916,2.0,1004.9,68,201,8.8,0.7,10407.7
58936,20220525193916,34.7,1005.1,2,189,11.2,0.0,10037.4
58944,20220525193916,18.5,1008.7,67,335,10.6,0.2,10222.3
59113,20220525193916,34.5,1001.4,99,147,1.4,0.2,10268.3
59126,20220525193916,26.8,1018.5,98,235,2.9,0.9,10064.1
59133,20220525193916,10.4,1013.2,31,154,1.8,0.8,10162.2
59134,20220525193916,19.2,1009.9,30,143,1.3,1.1,10025.0
59321,20220525193916,3.3,1019.0,22,324,13.9,0.3,10433.6
52323,20220525193916,13.8,1009.7,52,98,11.9,0.8,10208.5
52418,20220525193916,9.3,1019.2,83,71,13.2,1.2,10293.8
52424,20220525193916,31.9,1009.0,93,115,2.5,0.1,10176.8
52436,20220525193916,17.6,1005.8,41,0,10.3,1.4,10449.9
52446,20220525193916,18.3,1025.0,62,49,4.9,0.8,10032.2
52447,20220525193916,28.6,1016.9,42,242,8.4,1.1,10496.7
52533,20220525193916,1.3,1003.7,63,80,4.4,0.2,10472.7
52546,20220525193916,25.8,1006.0,39,280,0.0,0.7,10311.0
52652,20220525193916,10.2,1010.3,30,330,8.0,0.2,10209.7
52661,20220525193916,21.1,1009.4,61,351,7.1,0.1,10250.4
52674,20220525193916,6.5,1000.1,19,33,2.3,1.2,10207.9
52679,20220525193916,8.3,1006.8,54,99,12.0,0.4,10044.6
52681,20220525193916,14.8,1012.0,24,149,12.0,0.1,10252.0
52787,20220525193916,0.2,1008.8,84,292,10.0,1.1,10450.7
52797,20220525193916,0.0,1003.2,57,326,13.0,1.4,10105.3
52884,20220525193916,21.9,1024.3,49,32,9.9,1.4,10414.0
52895,20220525193916,12.3,1005.0,67,62,2.5,1.0,10057.2
52983,20220525193916,31.7,1012.5,56,299,9.0,0.6,10348.7
52984,20220525193916,29.2,1015.9,16,173,3.3,0.0,10458.5
52986,20220525193916,19.6,1006.5,43,8,11.1,0.3,10091.7
52996,20220525193916,6.6,1015.7,9,61,4.7,0.2,10432.4
53821,20220525193916,26.2,1009.1,100,253,6.1,1.0,10351.0
